,Company,,,Energy,,,Typical applications,,,Model,
,Nickel-cobalt-,,High,,,High performance long range,,,"Tesla Model S, X",,
,aluminium (NCA),,,,,,,,,,
,Nickel-Manganese-,,High,,,High performance long range,,,"BMW iX3, Volvo ES30",,
,Cobalt (NMC),,,,,,,,,,
,Lithium-Iron-Phosphate,,Medium,,,Economical vehicles,,,"BYD Atto, Tesla Model 3",,
,(LFP),,,,,,,,,,
,Sodim-Ion,,,Medium,,,Small electric vehicles,,,"JAC, Jiangling Motors",
,Nickel-Metal-Hydride,,Lower,,,Hybrid vehicles,,,"Toyota Prius, Honda Insight",,
,(NiMH),,,,,,,,,,
,Solid and semi-solids,,,Very High,,,Future high performance,,,,
